model_name,oof_accuracy,positive_rate,oof_path,test_path,summary_path,model_name_raw,best_stage
challenge_10_signal_features_colab_ultra,0.9403,0.5033,/Users/williamfrankmonroymamani/Documents/mem/stadistics/mem-estadistics/challenge/results-pre-stack/signal_features_ultra/output/challenge_10_signal_features_colab_ultra/oof_probabilities.csv,/Users/williamfrankmonroymamani/Documents/mem/stadistics/mem-estadistics/challenge/results-pre-stack/signal_features_ultra/output/challenge_10_signal_features_colab_ultra/test_probabilities.csv,/Users/williamfrankmonroymamani/Documents/mem/stadistics/mem-estadistics/challenge/results-pre-stack/signal_features_ultra/output/challenge_10_signal_features_colab_ultra/summary.json,Signal feature engineering model,stage2_cv
challenge_08_knn_cleaning_colab_ultra,0.8145,0.5315,/Users/williamfrankmonroymamani/Documents/mem/stadistics/mem-estadistics/challenge/results-pre-stack/knn_cleaning_ultra/output/challenge_08_knn_cleaning_colab_ultra/oof_probabilities.csv,/Users/williamfrankmonroymamani/Documents/mem/stadistics/mem-estadistics/challenge/results-pre-stack/knn_cleaning_ultra/output/challenge_08_knn_cleaning_colab_ultra/test_probabilities.csv,/Users/williamfrankmonroymamani/Documents/mem/stadistics/mem-estadistics/challenge/results-pre-stack/knn_cleaning_ultra/output/challenge_08_knn_cleaning_colab_ultra/summary.json,KNN with instance cleaning,stage3_local_cv
