candidate_id,signature,meta_family,base_models_json,weights_json,C,best_threshold,meta_oof_accuracy
blend_0007,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.175, 0.825]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.175, 0.825]",,0.57,0.9451
blend_0006,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.15, 0.85]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.15, 0.85]",,0.55,0.9443
blend_0005,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.125, 0.875]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.125, 0.875]",,0.55,0.9436
blend_0004,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.1, 0.9]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.1, 0.9]",,0.53,0.943
blend_0003,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.075, 0.925]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.075, 0.925]",,0.5,0.9422
blend_0002,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.05, 0.95]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.05, 0.95]",,0.49,0.942
blend_0001,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.025, 0.975]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.025, 0.975]",,0.49,0.9419
blend_0019,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.475, 0.525]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.475, 0.525]",,0.51,0.9418
blend_0000,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.0, 1.0]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.0, 1.0]",,0.48,0.9409
blend_0020,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.5, 0.5]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.5, 0.5]",,0.57,0.9311
blend_0021,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.525, 0.475]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.525, 0.475]",,0.59,0.9307
blend_0022,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.55, 0.45]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.55, 0.45]",,0.6,0.9307
blend_0023,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.575, 0.425]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.575, 0.425]",,0.62,0.9296
blend_0024,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.6, 0.4]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.6, 0.4]",,0.64,0.927
blend_0025,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.625, 0.375]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.625, 0.375]",,0.64,0.9214
blend_0037,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.925, 0.075]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.925, 0.075]",,0.5,0.9001
blend_0036,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.9, 0.1]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.9, 0.1]",,0.51,0.8999
blend_0035,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.875, 0.125]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.875, 0.125]",,0.51,0.8996
blend_0034,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.85, 0.15]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.85, 0.15]",,0.52,0.8993
blend_0031,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.775, 0.225]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.775, 0.225]",,0.52,0.8989
blend_0032,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.8, 0.2]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.8, 0.2]",,0.52,0.8989
blend_0033,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.825, 0.175]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.825, 0.175]",,0.51,0.8988
blend_0030,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.75, 0.25]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.75, 0.25]",,0.51,0.8985
blend_0029,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.725, 0.275]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.725, 0.275]",,0.51,0.8984
blend_0027,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.675, 0.325]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.675, 0.325]",,0.51,0.8983
blend_0028,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.7, 0.3]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.7, 0.3]",,0.54,0.8983
blend_0026,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.65, 0.35]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.65, 0.35]",,0.51,0.8981
blend_0038,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.95, 0.05]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.95, 0.05]",,0.5,0.8972
blend_0039,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.975, 0.025]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.975, 0.025]",,0.5,0.886
blend_0040,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [1.0, 0.0]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[1.0, 0.0]",,0.5,0.8145
