candidate_id,source,signature,pca__n_components,model__C,model__gamma,params_json,stage,cv_mean_accuracy,cv_std_accuracy,total_fit_seconds,completed_folds
stage3_770,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 120}",120,1.0,scale,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 120}",stage3_local_cv,0.742125,0.008106710183545486,23.15,5
stage3_812,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 124}",124,1.0,scale,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 124}",stage3_local_cv,0.74175,0.006816799102217993,26.508,5
stage3_660,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 108}",108,1.0,scale,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 108}",stage3_local_cv,0.741625,0.00806806978155244,25.183,5
stage3_813,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 124}",124,1.0,0.005,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 124}",stage3_local_cv,0.7412500000000001,0.007531185165696004,26.396,5
stage3_771,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 120}",120,1.0,0.005,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 120}",stage3_local_cv,0.741125,0.00853668553948193,25.252000000000002,5
stage3_378,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",92,4.0,0.0025,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",stage3_local_cv,0.740875,0.009727538229171866,24.485000000000003,5
stage3_626,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 104}",104,1.0,scale,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 104}",stage3_local_cv,0.7406250000000001,0.009108718351118338,23.836000000000002,5
stage3_661,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 108}",108,1.0,0.005,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 108}",stage3_local_cv,0.7406250000000001,0.009642030387838427,25.103,5
stage3_351,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.001, ""pca__n_components"": 84}",84,24.0,0.001,"{""model__C"": 24.0, ""model__gamma"": 0.001, ""pca__n_components"": 84}",stage3_local_cv,0.7404999999999999,0.00867287437935082,26.847,5
stage3_592,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 100}",100,1.0,scale,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 100}",stage3_local_cv,0.74025,0.0113509360847465,20.419999999999998,5
stage3_695,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 112}",112,1.0,0.005,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 112}",stage3_local_cv,0.74,0.009929438554117744,21.423000000000002,5
stage3_627,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 104}",104,1.0,0.005,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 104}",stage3_local_cv,0.7397500000000001,0.009703414347537676,24.028000000000002,5
stage3_728,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 116}",116,1.0,scale,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 116}",stage3_local_cv,0.739625,0.009367496997597593,23.43,5
stage3_694,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 112}",112,1.0,scale,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""pca__n_components"": 112}",stage3_local_cv,0.739625,0.009096702699330108,23.992,5
stage3_729,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 116}",116,1.0,0.005,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 116}",stage3_local_cv,0.739,0.009224627363747526,22.485,5
stage3_593,stage3_seed_2,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 100}",100,1.0,0.005,"{""model__C"": 1.0, ""model__gamma"": 0.005, ""pca__n_components"": 100}",stage3_local_cv,0.7382500000000001,0.010985786271359937,22.195999999999998,5
stage3_337,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 84}",84,4.0,0.0025,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 84}",stage3_local_cv,0.7381249999999999,0.012431059890451821,22.026,5
stage3_473,stage3_seed_1,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 100}",100,16.0,0.001,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 100}",stage3_local_cv,0.7368750000000001,0.007104136119191406,27.759999999999998,5
stage3_581,stage3_seed_1,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 112}",112,16.0,0.001,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 112}",stage3_local_cv,0.73575,0.009563929631694319,22.894,5
stage3_509,stage3_seed_1,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 104}",104,16.0,0.001,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 104}",stage3_local_cv,0.735375,0.008231038816577203,27.987999999999996,5
stage3_545,stage3_seed_1,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 108}",108,16.0,0.001,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 108}",stage3_local_cv,0.7351249999999999,0.008229140295316404,27.639,5
stage3_365,stage3_seed_1,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",88,16.0,0.001,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",stage3_local_cv,0.7337499999999999,0.010701927396501982,22.445999999999998,5
stage3_401,stage3_seed_1,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,16.0,0.001,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,0.7322499999999998,0.009573727069433293,25.645,5
stage3_437,stage3_seed_1,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 96}",96,16.0,0.001,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 96}",stage3_local_cv,0.7317500000000001,0.009604686356149248,25.198,5
stage3_467,stage3_seed_1,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 100}",100,12.0,0.001,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 100}",stage3_local_cv,0.730625,0.010621322893123989,21.91,5
stage3_575,stage3_seed_1,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 112}",112,12.0,0.001,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 112}",stage3_local_cv,0.72975,0.009070901278263363,27.102999999999998,5
stage3_503,stage3_seed_1,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 104}",104,12.0,0.001,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 104}",stage3_local_cv,0.729375,0.01172603939955856,26.502000000000002,5
stage3_345,stage3_seed_1,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 84}",84,16.0,0.001,"{""model__C"": 16.0, ""model__gamma"": 0.001, ""pca__n_components"": 84}",stage3_local_cv,0.728875,0.014072357656057487,22.255000000000003,5
stage3_539,stage3_seed_1,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 108}",108,12.0,0.001,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 108}",stage3_local_cv,0.7286250000000001,0.009365828847464593,27.255000000000003,5
stage3_395,stage3_seed_1,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,12.0,0.001,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,0.7272500000000001,0.011072206193889263,24.508000000000003,5
stage3_431,stage3_seed_1,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 96}",96,12.0,0.001,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 96}",stage3_local_cv,0.7264999999999999,0.010713601168608037,21.805000000000003,5
stage3_362,stage3_seed_1,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",88,12.0,0.001,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",stage3_local_cv,0.726375,0.01372953021774599,22.817,5
stage3_342,stage3_seed_1,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 84}",84,12.0,0.001,"{""model__C"": 12.0, ""model__gamma"": 0.001, ""pca__n_components"": 84}",stage3_local_cv,0.723375,0.013905933985173386,20.648999999999997,5
stage3_569,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 112}",112,8.0,0.001,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 112}",stage3_local_cv,0.722,0.012313610356024756,20.912999999999997,5
stage3_497,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 104}",104,8.0,0.001,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 104}",stage3_local_cv,0.7205,0.012533704560105122,23.562,5
stage3_533,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 108}",108,8.0,0.001,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 108}",stage3_local_cv,0.7205,0.010806537373275499,26.864,5
stage3_360,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",88,8.0,0.001,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",stage3_local_cv,0.718625,0.011479601473918867,20.724,5
stage3_006,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.08, ""pca__n_components"": 60}",60,2.0,0.08,"{""model__C"": 2.0, ""model__gamma"": 0.08, ""pca__n_components"": 60}",stage3_local_cv,0.7185,0.08304610918038244,24.057000000000002,5
stage3_461,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 100}",100,8.0,0.001,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 100}",stage3_local_cv,0.718,0.013106534629718085,25.364000000000004,5
stage3_389,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,8.0,0.001,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,0.7175,0.012593401049756175,26.29,5
stage3_563,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 112}",112,6.0,0.001,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 112}",stage3_local_cv,0.7170000000000001,0.009853616087508158,24.782,5
stage3_425,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 96}",96,8.0,0.001,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 96}",stage3_local_cv,0.716625,0.014067915623858408,20.789,5
stage3_527,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 108}",108,6.0,0.001,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 108}",stage3_local_cv,0.7162499999999999,0.009544304584410537,25.168999999999997,5
stage3_013,stage3_seed_0,"{""model__C"": 3.0, ""model__gamma"": 0.08, ""pca__n_components"": 60}",60,3.0,0.08,"{""model__C"": 3.0, ""model__gamma"": 0.08, ""pca__n_components"": 60}",stage3_local_cv,0.7155,0.08435546070053794,24.725,5
stage3_340,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 84}",84,8.0,0.001,"{""model__C"": 8.0, ""model__gamma"": 0.001, ""pca__n_components"": 84}",stage3_local_cv,0.7151250000000001,0.013407087677791911,21.782999999999998,5
stage3_491,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 104}",104,6.0,0.001,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 104}",stage3_local_cv,0.7145,0.013052777482206604,26.186999999999998,5
stage3_455,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 100}",100,6.0,0.001,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 100}",stage3_local_cv,0.713125,0.011891435994025281,20.854,5
stage3_419,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 96}",96,6.0,0.001,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 96}",stage3_local_cv,0.7125,0.014279574573494809,23.584,5
stage3_020,stage3_seed_0,"{""model__C"": 4.0, ""model__gamma"": 0.08, ""pca__n_components"": 60}",60,4.0,0.08,"{""model__C"": 4.0, ""model__gamma"": 0.08, ""pca__n_components"": 60}",stage3_local_cv,0.711875,0.08418543520110827,23.475,5
stage3_358,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",88,6.0,0.001,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",stage3_local_cv,0.7115,0.011849314326154053,24.576999999999998,5
