mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.0990463097890215,0.028281587200232064,0.022617340087890625,0.0004077446129376866,,sqrt,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",0.7244094488188977,0.7217847769028871,0.7119279819954989,0.7193740692390946,0.005373105067283552,1
17.998503764470417,0.19039318343585857,0.021899620691935223,0.0003802798177110967,,0.3,1,100,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 100}",0.7221597300337458,0.713535808023997,0.705926481620405,0.7138740065593826,0.006631509239949835,2
17.147343635559082,0.05446870461573524,0.0219573179880778,0.0009234995313363083,,0.3,2,100,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 2, 'n_estimators': 100}",0.7184101987251593,0.7157855268091489,0.7036759189797449,0.7126238815046843,0.006417255419438239,3
15.869136253992716,0.11158604657442106,0.020734151204427082,0.00030351664207803336,,0.3,5,100,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 5, 'n_estimators': 100}",0.7251593550806149,0.7105361829771278,0.7021755438859715,0.712623693981238,0.009498497105751878,4
4.288806438446045,0.04512169118849723,0.023250659306844074,0.0006558525276935235,,sqrt,1,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.7199100112485939,0.7154105736782902,0.700675168792198,0.7119985845730273,0.008214866333723519,5
3.1287012894948325,0.00847312813836426,0.01591777801513672,0.0004764103568843135,12,sqrt,5,100,"{'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",0.714660667416573,0.703037120359955,0.7036759189797449,0.7071245689187576,0.005335203922734492,6
3.79276704788208,0.03463543373385618,0.020819902420043945,0.00017466738850189603,,sqrt,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",0.718785151856018,0.7071616047994,0.6924231057764441,0.7061232874772875,0.010787274772355443,7
13.025769233703613,0.07218948493738624,0.015298287073771158,2.8027678907013525e-05,12,0.3,5,100,"{'max_depth': 12, 'max_features': 0.3, 'min_samples_leaf': 5, 'n_estimators': 100}",0.7109111361079865,0.697787776527934,0.7021755438859715,0.7036248188406306,0.005454719063189889,8
3.255532423655192,0.022404697074621234,0.015993515650431316,7.537480192052463e-05,12,sqrt,2,100,"{'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",0.7064116985376828,0.7015373078365205,0.7014253563390848,0.7031247875710961,0.0023246463618001455,9
13.433024962743124,0.021406314700638095,0.015760342280069988,0.00020282517005733904,12,0.3,2,100,"{'max_depth': 12, 'max_features': 0.3, 'min_samples_leaf': 2, 'n_estimators': 100}",0.7116610423697037,0.6974128233970753,0.6927981995498874,0.7006240217722222,0.008028514020443352,10
3.272160291671753,0.007293116363581642,0.015972057978312176,0.00022548871890193557,12,sqrt,1,100,"{'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.6996625421822272,0.7004124484439445,0.6935483870967742,0.6978744592409821,0.0030742766084623607,11
13.5663050810496,0.04470127668839029,0.01596983273824056,0.0003651756197311763,12,0.3,1,100,"{'max_depth': 12, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 100}",0.7004124484439445,0.6914135733033371,0.6916729182295573,0.6944996466589464,0.0041823226130303206,12
