mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.02142777442932129,0.0030152704348539922,0.04824399948120117,0.02638649167304627,euclidean,4,distance,43,"{'model__metric': 'euclidean', 'model__n_neighbors': 4, 'model__weights': 'distance', 'pca__n_components': 43}",0.779375,0.77875,0.7925,0.7875,0.776875,0.783,0.0059869650074140055,22
0.02258615493774414,0.00878154561226947,0.1205599308013916,0.03021181679393625,manhattan,6,distance,46,"{'model__metric': 'manhattan', 'model__n_neighbors': 6, 'model__weights': 'distance', 'pca__n_components': 46}",0.78375,0.77,0.781875,0.7825,0.795,0.782625,0.007929375763576859,23
0.02518935203552246,0.00378623484495947,0.03798189163208008,0.009183876289877697,euclidean,4,distance,42,"{'model__metric': 'euclidean', 'model__n_neighbors': 4, 'model__weights': 'distance', 'pca__n_components': 42}",0.779375,0.7775,0.788125,0.785,0.774375,0.780875,0.005009366227378457,24
0.01987481117248535,0.002002617561097721,0.09712553024291992,0.01800604666752287,manhattan,3,uniform,46,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'pca__n_components': 46}",0.783125,0.7775,0.788125,0.778125,0.775625,0.7805,0.004548351349665053,25
0.018817758560180663,0.0041265937357736334,0.11720967292785645,0.043883234794886906,manhattan,2,distance,40,"{'model__metric': 'manhattan', 'model__n_neighbors': 2, 'model__weights': 'distance', 'pca__n_components': 40}",0.77625,0.7775,0.79125,0.77375,0.78375,0.7805,0.006304760106459236,25
0.014873218536376954,0.0020799588708852483,0.10695581436157227,0.033037259238290415,manhattan,3,distance,46,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'pca__n_components': 46}",0.783125,0.7775,0.788125,0.778125,0.775625,0.7805,0.004548351349665053,25
0.027775907516479494,0.017800488435906887,0.02565312385559082,0.008371910941489806,euclidean,2,distance,48,"{'model__metric': 'euclidean', 'model__n_neighbors': 2, 'model__weights': 'distance', 'pca__n_components': 48}",0.781875,0.769375,0.78625,0.788125,0.775,0.780125,0.0070200605410494655,28
0.01793780326843262,0.0009213256829027389,0.03256669044494629,0.010301055022702097,euclidean,4,distance,40,"{'model__metric': 'euclidean', 'model__n_neighbors': 4, 'model__weights': 'distance', 'pca__n_components': 40}",0.78,0.77375,0.7825,0.784375,0.77625,0.7793749999999999,0.003913118960624627,29
0.024793577194213868,0.003980839034267053,0.02472662925720215,0.0032416754527214387,euclidean,2,distance,43,"{'model__metric': 'euclidean', 'model__n_neighbors': 2, 'model__weights': 'distance', 'pca__n_components': 43}",0.77,0.768125,0.794375,0.7875,0.7725,0.7785,0.010477654794847963,30
0.0217193603515625,0.0034539684877717054,0.03283400535583496,0.02315262536095644,euclidean,2,distance,45,"{'model__metric': 'euclidean', 'model__n_neighbors': 2, 'model__weights': 'distance', 'pca__n_components': 45}",0.775,0.770625,0.78875,0.785625,0.7725,0.7785,0.0072951182307074295,30
0.019176387786865236,0.001652592574749622,0.02028484344482422,0.0020703398817130173,euclidean,2,distance,46,"{'model__metric': 'euclidean', 'model__n_neighbors': 2, 'model__weights': 'distance', 'pca__n_components': 46}",0.779375,0.76625,0.79125,0.784375,0.770625,0.7783749999999999,0.009053659481115922,32
0.024924373626708983,0.007297475922702527,0.03386540412902832,0.018546411405497284,euclidean,2,distance,44,"{'model__metric': 'euclidean', 'model__n_neighbors': 2, 'model__weights': 'distance', 'pca__n_components': 44}",0.770625,0.776875,0.7875,0.783125,0.77,0.777625,0.006862488615655385,33
0.02673492431640625,0.006115644696060218,0.1616664409637451,0.04932784024790989,manhattan,2,distance,42,"{'model__metric': 'manhattan', 'model__n_neighbors': 2, 'model__weights': 'distance', 'pca__n_components': 42}",0.781875,0.774375,0.786875,0.76375,0.780625,0.7775,0.007945124291035333,34
0.015487289428710938,0.0023554877726223175,0.1253819942474365,0.030572762685313684,manhattan,3,distance,45,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'pca__n_components': 45}",0.77875,0.76875,0.778125,0.78625,0.775,0.7773749999999999,0.005678908345800261,35
0.02327723503112793,0.0052332420334084626,0.10491418838500977,0.03214452955896794,manhattan,3,uniform,45,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'pca__n_components': 45}",0.77875,0.76875,0.778125,0.78625,0.775,0.7773749999999999,0.005678908345800261,35
0.02129364013671875,0.0026092295234310748,0.08749833106994628,0.02017847937974127,manhattan,3,uniform,44,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'pca__n_components': 44}",0.774375,0.770625,0.779375,0.78125,0.78,0.7771250000000001,0.004003904344511744,37
