mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,param_model__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.009978723526000977,0.00020870963595277615,0.013616323471069336,0.0006478044708598986,11,distance,50,"{'model__n_neighbors': 11, 'model__weights': 'distance', 'pca__n_components': 50}",0.72375,0.7425,0.725,0.725,0.729375,0.729125,0.006955213871621801,22
0.010252952575683594,0.0002436264591775219,0.012995529174804687,0.00036539703189949097,9,uniform,60,"{'model__n_neighbors': 9, 'model__weights': 'uniform', 'pca__n_components': 60}",0.723125,0.743125,0.7225,0.720625,0.73625,0.729125,0.00893203504247493,22
0.010018110275268555,0.0002481276573496324,0.013069438934326171,0.000377343312855441,11,uniform,50,"{'model__n_neighbors': 11, 'model__weights': 'uniform', 'pca__n_components': 50}",0.723125,0.740625,0.725,0.724375,0.72875,0.728375,0.006405563987659471,24
0.009598731994628906,0.00022161275611672752,0.012823104858398438,0.00047462817172976306,11,distance,40,"{'model__n_neighbors': 11, 'model__weights': 'distance', 'pca__n_components': 40}",0.72375,0.7425,0.725625,0.72625,0.7225,0.728125,0.007310095758606742,25
0.009695196151733398,0.00017073624388288473,0.011899518966674804,0.00034691079437661453,11,uniform,40,"{'model__n_neighbors': 11, 'model__weights': 'uniform', 'pca__n_components': 40}",0.7225,0.74125,0.72375,0.725,0.721875,0.726875,0.007267220926874294,26
0.010626268386840821,0.0018544440367189896,0.01715531349182129,0.012067263098644887,9,distance,30,"{'model__n_neighbors': 9, 'model__weights': 'distance', 'pca__n_components': 30}",0.718125,0.726875,0.729375,0.720625,0.735,0.726,0.006067330549755799,27
0.010168981552124024,0.0010361801507399533,0.01047978401184082,0.0003906316996443181,9,uniform,30,"{'model__n_neighbors': 9, 'model__weights': 'uniform', 'pca__n_components': 30}",0.716875,0.725625,0.72875,0.720625,0.734375,0.72525,0.006118619125260205,28
0.009682226181030273,0.0002607451533025443,0.011922788619995118,0.0003222266885664906,11,distance,30,"{'model__n_neighbors': 11, 'model__weights': 'distance', 'pca__n_components': 30}",0.715,0.7275,0.728125,0.715,0.728125,0.7227499999999999,0.006331962570956999,29
0.010572147369384766,0.0002695993352936094,0.013693809509277344,0.00038703885488234783,11,distance,60,"{'model__n_neighbors': 11, 'model__weights': 'distance', 'pca__n_components': 60}",0.714375,0.738125,0.721875,0.7125,0.72625,0.7226250000000001,0.009214458746991061,30
0.010361099243164062,0.00042152870292164505,0.013727378845214844,0.00031232533198649365,11,uniform,60,"{'model__n_neighbors': 11, 'model__weights': 'uniform', 'pca__n_components': 60}",0.713125,0.7375,0.721875,0.7125,0.725,0.7220000000000001,0.009146379064963366,31
0.00983257293701172,0.00031262759803003906,0.01137857437133789,0.00047649520056589084,11,uniform,30,"{'model__n_neighbors': 11, 'model__weights': 'uniform', 'pca__n_components': 30}",0.714375,0.726875,0.7275,0.71375,0.726875,0.721875,0.006386019887222427,32
0.010123491287231445,0.000318065861692843,0.01480116844177246,0.0009760056501540864,15,distance,50,"{'model__n_neighbors': 15, 'model__weights': 'distance', 'pca__n_components': 50}",0.7175,0.713125,0.705,0.7025,0.719375,0.7115,0.006691879407162093,33
0.009982109069824219,0.0004590200032447474,0.014450263977050782,0.00040561306904304595,15,distance,40,"{'model__n_neighbors': 15, 'model__weights': 'distance', 'pca__n_components': 40}",0.701875,0.730625,0.700625,0.706875,0.713125,0.7106250000000001,0.010925886691706051,34
0.00995321273803711,7.521316816382317e-05,0.014483404159545899,0.0011343867941791658,15,uniform,40,"{'model__n_neighbors': 15, 'model__weights': 'uniform', 'pca__n_components': 40}",0.70125,0.72875,0.699375,0.705625,0.713125,0.709625,0.010669758666436657,35
0.010664844512939453,0.0007511766146223011,0.01422257423400879,0.0003913721084646316,15,uniform,50,"{'model__n_neighbors': 15, 'model__weights': 'uniform', 'pca__n_components': 50}",0.71375,0.711875,0.70375,0.70125,0.7175,0.709625,0.006144102863722254,35
0.009807920455932618,0.00018608362226039949,0.013163042068481446,0.00030166387436444134,15,distance,30,"{'model__n_neighbors': 15, 'model__weights': 'distance', 'pca__n_components': 30}",0.691875,0.731875,0.709375,0.699375,0.715625,0.709625,0.013793114224133735,35
0.009833335876464844,0.0001942406567472759,0.013077878952026367,0.00048667500095481354,15,uniform,30,"{'model__n_neighbors': 15, 'model__weights': 'uniform', 'pca__n_components': 30}",0.689375,0.72875,0.70875,0.698125,0.715,0.708,0.013598023753472424,38
0.01021876335144043,0.00019016739352500412,0.015830802917480468,0.0006814156718084992,15,distance,60,"{'model__n_neighbors': 15, 'model__weights': 'distance', 'pca__n_components': 60}",0.706875,0.72125,0.7025,0.696875,0.71,0.7075,0.008168154626352243,39
0.010048866271972656,7.390376035892505e-05,0.014922618865966797,0.0003821878528308691,15,uniform,60,"{'model__n_neighbors': 15, 'model__weights': 'uniform', 'pca__n_components': 60}",0.705,0.71875,0.70125,0.694375,0.7075,0.705375,0.008019507466172726,40
