model_name,challenge_08_knn_cleaning_colab_ultra,challenge_10_signal_features_colab_ultra
challenge_08_knn_cleaning_colab_ultra,1.0,0.628243395752307
challenge_10_signal_features_colab_ultra,0.628243395752307,1.0
