model_name,oof_accuracy,positive_rate,oof_path,test_path,summary_path,model_name_raw,best_stage
challenge_10_signal_features_colab_ultra,0.9403,0.5033,/content/challenge_final_stacking_workspace/output/challenge_10_signal_features_colab_ultra/oof_probabilities.csv,/content/challenge_final_stacking_workspace/output/challenge_10_signal_features_colab_ultra/test_probabilities.csv,/content/challenge_final_stacking_workspace/output/challenge_10_signal_features_colab_ultra/summary.json,Signal feature engineering model,stage2_cv
challenge_08_knn_cleaning_colab_ultra,0.8145,0.5315,/content/challenge_final_stacking_workspace/output/challenge_08_knn_cleaning_colab_ultra/oof_probabilities.csv,/content/challenge_final_stacking_workspace/output/challenge_08_knn_cleaning_colab_ultra/test_probabilities.csv,/content/challenge_final_stacking_workspace/output/challenge_08_knn_cleaning_colab_ultra/summary.json,KNN with instance cleaning,stage3_local_cv
