mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4069093704223632,0.08413839726955259,0.001271200180053711,3.665460602899827e-05,entropy,,2,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2}",0.584375,0.59375,0.581875,0.589375,0.57125,0.584125,0.00763012123101591,22
1.4305211067199708,0.08437862513502074,0.0013966560363769531,0.0003063369802194261,entropy,,1,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1}",0.57875,0.59625,0.580625,0.585,0.578125,0.58375,0.006696547617989422,23
0.6916502952575684,0.005373657354148339,0.0012578487396240235,0.00011040694604235299,gini,8,10,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 10}",0.586875,0.58,0.570625,0.60125,0.579375,0.583625,0.010211819132750028,24
0.9610769748687744,0.015876763538491486,0.001180410385131836,1.1389323151107966e-05,entropy,10,2,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2}",0.573125,0.585,0.586875,0.59625,0.57125,0.5825,0.009261816776421329,25
0.964998722076416,0.016813774544453656,0.001180744171142578,9.302114056851615e-06,entropy,10,1,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1}",0.57375,0.5825,0.5875,0.596875,0.569375,0.5820000000000001,0.009789982124600666,26
0.9559983730316162,0.012918322808856639,0.0011941909790039063,1.7001367920566106e-05,entropy,10,5,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 5}",0.576875,0.575,0.586875,0.594375,0.573125,0.58125,0.008100925873009831,27
0.716837739944458,0.019672117201396624,0.0011803150177001954,1.3034847629017747e-05,gini,8,1,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 1}",0.584375,0.583125,0.563125,0.598125,0.576875,0.5811249999999999,0.011363318177363519,28
1.3118395328521728,0.0752475227777317,0.001233816146850586,2.5935295334036847e-05,gini,,1,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1}",0.584375,0.58375,0.566875,0.57125,0.59875,0.581,0.011212437290794528,29
1.396411418914795,0.11769391158897269,0.001261425018310547,5.7906056885924334e-05,entropy,,5,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 5}",0.569375,0.58375,0.584375,0.586875,0.578125,0.5805,0.006254998001598418,30
1.185220432281494,0.1013311117270566,0.0014663219451904296,0.00037672246197828664,entropy,,20,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 20}",0.58125,0.571875,0.565,0.6025,0.58125,0.5803750000000001,0.012646639869941762,31
0.7060422897338867,0.006343696845844873,0.0013142108917236328,0.0002016730546867286,gini,8,5,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 5}",0.586875,0.57875,0.55625,0.595,0.583125,0.5799999999999998,0.013020416659999777,32
0.6768680572509765,0.005199566695167325,0.001172494888305664,3.1809506252643166e-05,gini,8,20,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 20}",0.590625,0.575,0.558125,0.58375,0.59125,0.57975,0.012302184765317106,33
0.7808207988739013,0.01182370578275692,0.0011651039123535157,6.0530152866916186e-06,entropy,8,20,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 20}",0.59375,0.5675,0.571875,0.589375,0.575,0.5795,0.010227108584541376,34
1.2711730003356934,0.07692808936755387,0.001246166229248047,4.378975050659652e-05,gini,,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2}",0.56125,0.590625,0.569375,0.581875,0.591875,0.579,0.011973930014828046,35
0.7075545310974121,0.004207284362732303,0.0011930465698242188,5.4340819467034165e-05,gini,8,2,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 2}",0.584375,0.583125,0.5575,0.59375,0.5725,0.57825,0.012370580018738003,36
0.7975424766540528,0.008956411443719557,0.0011791706085205079,2.4158002974318086e-05,entropy,8,10,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 10}",0.58125,0.5725,0.581875,0.580625,0.575,0.57825,0.003779054114457755,36
0.8115407466888428,0.010511929021962484,0.0012018203735351563,8.345364131365572e-05,entropy,8,2,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 2}",0.57375,0.575,0.580625,0.58125,0.5725,0.5766249999999999,0.0036142080737002445,38
0.8052899837493896,0.009854545063847699,0.0011819362640380859,4.767241344017229e-05,entropy,8,5,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 5}",0.570625,0.57375,0.58,0.581875,0.575625,0.5763750000000001,0.004096492402043473,39
0.810657262802124,0.009137949245979436,0.0011728286743164062,6.789531571423825e-06,entropy,8,1,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 1}",0.5725,0.57375,0.5825,0.579375,0.5725,0.576125,0.004077376607575023,40
0.6222434997558594,0.004710439639865442,0.0011484146118164063,2.9918026433854977e-05,entropy,6,20,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 20}",0.58125,0.570625,0.5675,0.580625,0.563125,0.5726249999999999,0.007195918982312126,41
0.5502401828765869,0.0021396409350361305,0.0011777877807617188,1.9782708868425755e-05,gini,6,5,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 5}",0.585,0.573125,0.56,0.57375,0.565625,0.5715,0.008446522953263043,42
0.5532956123352051,0.0030570610764125493,0.001182222366333008,1.3712364298126533e-05,gini,6,1,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 1}",0.58375,0.57375,0.559375,0.574375,0.564375,0.571125,0.00849080384887086,43
0.5524535655975342,0.0018470372318856666,0.0012222766876220704,0.00011292180479245308,gini,6,2,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 2}",0.58375,0.57375,0.55875,0.574375,0.56375,0.570875,0.008764274071479058,44
0.5497005939483642,0.006061655039436577,0.001224660873413086,0.0001376782224760187,gini,6,10,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10}",0.580625,0.57125,0.56,0.57625,0.565625,0.57075,0.0073463426274575265,45
0.5418600559234619,0.002685648685254021,0.0011776447296142577,3.1708989817250545e-05,gini,6,20,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 20}",0.580625,0.569375,0.556875,0.57875,0.5675,0.5706249999999999,0.008560446834131949,46
0.6289447784423828,0.004178122747461028,0.0011509418487548827,1.568540593195164e-05,entropy,6,10,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 10}",0.574375,0.573125,0.56625,0.570625,0.56375,0.569625,0.004042740407199054,47
0.6329595565795898,0.0051839874387139915,0.0011903762817382813,8.318429349928874e-05,entropy,6,5,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 5}",0.581875,0.57375,0.56625,0.565,0.560625,0.5695,0.007493747393660933,48
0.635578966140747,0.0040580075886235125,0.001153421401977539,1.0756245674608507e-05,entropy,6,2,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 2}",0.58125,0.57375,0.56625,0.56375,0.56125,0.56925,0.007314369419163905,49
0.6361043453216553,0.005489221052207028,0.0011476039886474609,1.2478747347552634e-05,entropy,6,1,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 1}",0.58125,0.57375,0.56625,0.563125,0.561875,0.56925,0.007282255831814764,49
0.3781122207641602,0.000716157703717271,0.0011664390563964843,1.9777306159282016e-05,gini,4,20,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 20}",0.56125,0.549375,0.546875,0.561875,0.56375,0.556625,0.007033402448317611,51
0.3793375015258789,0.000754649398359398,0.0011725425720214844,3.3606703507806626e-05,gini,4,10,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 10}",0.56125,0.54875,0.546875,0.561875,0.56375,0.5565,0.007165455323983265,52
0.3807265281677246,0.0010751618715884642,0.0011681556701660157,3.6137399048094003e-05,gini,4,5,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5}",0.56125,0.54875,0.54375,0.56,0.56375,0.5555,0.007810249675906679,53
0.38239660263061526,0.0006465730868537884,0.0011373996734619141,2.66306615788637e-05,gini,4,2,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2}",0.56125,0.54875,0.54375,0.56,0.56375,0.5555,0.007810249675906679,53
0.39443445205688477,0.01562793688401568,0.0011687755584716796,2.744089094603835e-05,gini,4,1,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 1}",0.56125,0.54875,0.54375,0.56,0.56375,0.5555,0.007810249675906679,53
0.43420820236206054,0.0033002904892644102,0.001138448715209961,2.5608419605929802e-05,entropy,4,20,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 20}",0.55375,0.549375,0.548125,0.558125,0.539375,0.54975,0.006269968101992203,56
0.4409324645996094,0.0039942851794050925,0.001156187057495117,4.774342613113274e-05,entropy,4,1,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 1}",0.553125,0.549375,0.544375,0.546875,0.54125,0.547,0.0040773766075750005,57
0.43747749328613283,0.003050986090329324,0.0011477470397949219,2.87410605734246e-05,entropy,4,10,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 10}",0.55375,0.549375,0.544375,0.5475,0.539375,0.546875,0.004825064766404659,58
0.440189266204834,0.0062068016544497995,0.0011737346649169922,4.670156857059637e-05,entropy,4,2,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 2}",0.553125,0.549375,0.544375,0.546875,0.539375,0.546625,0.004636809247747818,59
0.44782266616821287,0.01576848241804695,0.001255035400390625,0.00010689015134078007,entropy,4,5,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 5}",0.553125,0.549375,0.544375,0.54625,0.539375,0.5465000000000001,0.004636809247747819,60
