candidate_id,source,signature,criterion,max_depth,min_samples_leaf,min_samples_split,max_features,max_samples,params_json,stage,fold_idx,n_estimators,fold_accuracy,fit_seconds
stage1_018,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": 24, ""max_features"": 0.7, ""max_samples"": 0.65, ""min_samples_leaf"": 2, ""min_samples_split"": 14}",log_loss,24.0,2,14,0.7,0.65,"{""criterion"": ""log_loss"", ""max_depth"": 24, ""max_features"": 0.7, ""max_samples"": 0.65, ""min_samples_leaf"": 2, ""min_samples_split"": 14}",stage2_cv,1,448,0.7262842144731908,501.1
stage1_018,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": 24, ""max_features"": 0.7, ""max_samples"": 0.65, ""min_samples_leaf"": 2, ""min_samples_split"": 14}",log_loss,24.0,2,14,0.7,0.65,"{""criterion"": ""log_loss"", ""max_depth"": 24, ""max_features"": 0.7, ""max_samples"": 0.65, ""min_samples_leaf"": 2, ""min_samples_split"": 14}",stage2_cv,2,448,0.7205551387846961,499.164
stage1_022,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",entropy,,3,4,0.7,,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",stage2_cv,0,448,0.7229096362954631,706.222
stage1_022,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",entropy,,3,4,0.7,,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",stage2_cv,1,448,0.7277840269966255,717.866
stage1_022,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",entropy,,3,4,0.7,,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",stage2_cv,2,448,0.7209302325581395,707.154
stage1_024,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 56, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 6}",gini,56.0,6,6,0.18,,"{""criterion"": ""gini"", ""max_depth"": 56, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 6}",stage2_cv,0,448,0.7165354330708661,132.494
stage1_024,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 56, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 6}",gini,56.0,6,6,0.18,,"{""criterion"": ""gini"", ""max_depth"": 56, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 6}",stage2_cv,1,448,0.7255343082114736,135.033
stage1_024,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 56, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 6}",gini,56.0,6,6,0.18,,"{""criterion"": ""gini"", ""max_depth"": 56, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 6}",stage2_cv,2,448,0.7250562640660165,133.196
stage1_033,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.18, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",log_loss,,3,10,0.18,0.8,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.18, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",stage2_cv,0,448,0.7101612298462692,158.87
stage1_033,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.18, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",log_loss,,3,10,0.18,0.8,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.18, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",stage2_cv,1,448,0.7307836520434946,161.271
stage1_033,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.18, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",log_loss,,3,10,0.18,0.8,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.18, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",stage2_cv,2,448,0.7190547636909227,160.455
stage1_037,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 14}",entropy,40.0,6,14,0.35,,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 14}",stage2_cv,0,448,0.7142857142857143,333.41
