candidate_id,source,signature,criterion,max_depth,min_samples_leaf,min_samples_split,max_features,max_samples,params_json,stage,fold_idx,n_estimators,fold_accuracy,fit_seconds
stage4_002,stage4_depth_probe,"{""criterion"": ""log_loss"", ""max_depth"": 48, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,48.0,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 48, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,2,960,0.74,645.857
stage4_002,stage4_depth_probe,"{""criterion"": ""log_loss"", ""max_depth"": 48, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,48.0,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 48, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,3,960,0.751875,648.754
stage4_002,stage4_depth_probe,"{""criterion"": ""log_loss"", ""max_depth"": 48, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,48.0,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 48, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,4,960,0.731875,637.064
stage4_003,stage4_depth_probe,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,0,960,0.74,636.667
stage4_003,stage4_depth_probe,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,1,960,0.7325,636.232
stage4_003,stage4_depth_probe,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,2,960,0.74,643.828
stage4_003,stage4_depth_probe,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,3,960,0.751875,648.101
stage4_003,stage4_depth_probe,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,4,960,0.731875,631.606
stage4_004,stage4_leaf_probe,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",log_loss,40.0,2,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",stage4_local_cv,0,960,0.735625,624.967
stage4_004,stage4_leaf_probe,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",log_loss,40.0,2,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",stage4_local_cv,1,960,0.721875,627.973
stage4_004,stage4_leaf_probe,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",log_loss,40.0,2,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",stage4_local_cv,2,960,0.7275,642.171
stage4_004,stage4_leaf_probe,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",log_loss,40.0,2,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",stage4_local_cv,3,960,0.755,637.762
stage4_004,stage4_leaf_probe,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",log_loss,40.0,2,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",stage4_local_cv,4,960,0.725625,630.331
stage4_005,stage4_split_probe,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 4}",log_loss,40.0,1,4,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 4}",stage4_local_cv,0,960,0.73375,636.026
