candidate_id,source,signature,feature__set,feature__raw_pca,scale__method,model__family,model__n_neighbors,model__metric,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds
stage1_064,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",fft,32,standard,svm,,,3.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,0,0.920625,1.63
stage1_047,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 0, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",fft,0,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 0, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,0,0.918125,1.031
stage1_094,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,16,robust,svm,,,3.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,0,0.915625,1.539
stage1_088,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",all,16,standard,svm,,,3.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,0,0.918125,1.544
stage1_053,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",fft,16,standard,svm,,,6.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,0,0.918125,1.384
stage1_058,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",fft,16,robust,svm,,,3.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,0,0.914375,1.345
stage1_059,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",fft,16,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,0,0.920625,1.92
stage1_101,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",all,32,standard,svm,,,6.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,1,0.935625,2.398
stage1_107,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,32,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,1,0.930625,1.835
stage1_065,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",fft,32,standard,svm,,,6.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,1,0.92875,1.718
